name,park_name,city_name,state_name,country_name,popularity,length,elevation_gain,difficulty_rating,avg_rating,num_reviews,species_count,bio_category_count,abundance_total,conservation_total,num_features,num_activities,route_type_loop,route_type_out and back,route_type_point to point,principal component 1,principal component 2,principal component 3,principal component 4,Class
Scotty's Spring,Death Valley National Park,Death Valley,California,United States,1.7716,17863.674,747.9792,5,4.5,2,4386,14,4065,240,3,3,0,1,0,3.667782026820047,-1.1172765327322214,-1.5997772075515837,1.2966478214743078,0
Pinon Mesa via Hummingbird Spring Trail,Death Valley National Park,Death Valley,California,United States,1.7579,5632.69,305.7144,3,2.0,1,4386,14,4065,240,3,2,0,1,0,3.4333271569196673,-1.6819648078787863,-2.918214705734171,0.8795604272045319,0
Big 4 Mines OHV Trail,Death Valley National Park,Death Valley,California,United States,1.5801,26071.308,485.8512,1,4.0,1,4386,14,4065,240,2,2,0,1,0,3.3028829782440816,-1.6530804279040048,-2.627963035502872,0.8599731409590124,0
Jack Gunn Maltese Peak Trail,Death Valley National Park,Death Valley,California,United States,1.5654,1770.274,134.7216,3,0.0,0,4386,14,4065,240,2,4,1,0,0,3.7190004473470557,-1.1043694657309582,-2.924352672241438,-2.052638031388629,0
Jubilee Mountain,Death Valley National Park,Death Valley,California,United States,1.5523,3540.548,358.7496,5,0.0,0,4386,14,4065,240,2,1,0,1,0,3.820483912881632,-1.1421730175695202,-3.6283694948149647,1.081133603032555,0
Inyo Mine Trail,Death Valley National Park,Death Valley,California,United States,1.3858,1287.472,72.8472,3,4.5,2,4386,14,4065,240,1,3,0,1,0,3.1655862570754008,-1.9420205050904913,-2.694116661066086,0.8848543415379719,0
Titus Canyon Narrows,Death Valley National Park,Death Valley,California,United States,1.3052,1931.208,73.7616,1,0.0,0,4386,14,4065,240,1,1,0,1,0,3.3395428765510666,-1.9017312432460982,-4.446931512674217,0.5848603107171833,0
Goler Wash and Mengal Pass Route,Death Valley National Park,Death Valley,California,United States,1.252,99135.344,1520.952,5,5.0,1,4386,14,4065,240,1,2,0,1,0,4.620115504531311,0.7735145221452523,-1.1236472704156701,1.8964194429680556,0
Hunter Mountain OHV Road,Death Valley National Park,Death Valley,California,United States,0.8463,17219.938,684.8856,3,5.0,1,4386,14,4065,240,2,2,0,0,1,4.156854866205448,-0.03043921072913521,-1.4269343919682176,-0.13598436179728082,0
Death Valley Buttes,Death Valley National Park,Death Valley,California,United States,0.7015,5954.558,448.9704,5,0.0,0,4386,14,4065,240,2,1,0,1,0,3.887919271059346,-1.0236217736223396,-3.625544721847743,1.1038130810259816,0
Titus Canyon Road,Death Valley National Park,Beatty,Nevada,United States,10.5062,41842.84,736.7016,1,4.5,46,4386,14,4065,240,4,7,0,0,1,4.0919780335016975,-0.4424960713291142,0.5149654597905251,-0.2909890551618843,0
Rhyolite Ghost Town,Death Valley National Park,Beatty,Nevada,United States,5.2404,1770.274,35.9664,1,4.0,9,4386,14,4065,240,4,4,0,1,0,2.877937860405931,-2.572014079920987,-1.9440570786089755,0.6128544457760434,0
Thimble Peak Trail,Death Valley National Park,Beatty,Nevada,United States,1.6462,5149.888,501.7008,3,5.0,2,4386,14,4065,240,3,2,0,1,0,3.2000783243548723,-1.813435253490514,-2.097502060125689,1.0013851360511419,0
Tall Trees Grove Loop Trail,Redwood National Park,Trinidad,California,United States,21.9301,5310.822,227.9904,3,4.5,247,6268,14,5774,164,6,5,1,0,0,3.1925322855062133,-3.1663011164460744,1.5149724437063816,-1.9158962857826836,0
Lady Bird Johnson Grove Trail,Redwood National Park,Orick,California,United States,19.4001,2092.142,22.86,1,4.5,250,6268,14,5774,164,5,3,1,0,0,2.915695547621356,-3.493130414150522,0.44581747496573804,-2.1539173997602057,0
Hidden Beach and False Klamath Rock,Redwood National Park,Klamath,California,United States,13.4062,12230.984,349.9104,3,4.5,51,6268,14,5774,164,4,5,0,1,0,3.594215699073322,-2.788195740719006,-0.2723168736453894,0.811125611905514,0
Redwood Creek Trail,Redwood National Park,Orick,California,United States,12.7515,25105.704,340.7664,3,4.5,54,6268,14,5774,164,3,2,0,1,0,3.656193043644437,-2.4754457769676614,-0.9664631779544803,0.9486181175389251,0
Skunk Cabbage Trail,Redwood National Park,Orick,California,United States,9.482,11748.182,394.716,3,4.5,37,6268,14,5774,164,6,3,0,1,0,3.6059667340103294,-2.70758489454016,-0.4296744714911114,0.7967548102586572,0
Yurok Loop Trail,Redwood National Park,Orick,California,United States,8.5634,3379.614,36.8808,1,4.5,43,6268,14,5774,164,5,4,1,0,0,3.382510065145669,-2.755577732041798,-0.47127156248488805,-2.3402810457301526,0
Dolason Prairie Trail,Redwood National Park,Orick,California,United States,7.2963,14001.258,686.7144,3,4.5,16,6268,14,5774,164,4,5,0,1,0,3.874767278346781,-2.3084798421949437,-0.5840688258009339,0.823599332025179,0
Klamath Overlook,Redwood National Park,Klamath,California,United States,7.0861,1609.34,109.728,1,4.0,29,6268,14,5774,164,7,5,0,1,0,3.373678459523504,-3.2839102701006357,-0.5382828693822931,0.37168905575523475,0
Berry Glen and Lady Bird Grove Trail,Redwood National Park,Orick,California,United States,6.2306,9656.04,391.9728,3,4.5,19,6268,14,5774,164,5,5,0,1,0,3.753513666977673,-2.5534283693670368,-0.5449283140461456,0.720470389788392,0
Flint Ridge Section Trail,Redwood National Park,Klamath,California,United States,6.1189,12713.786,539.8008,3,4.5,13,6268,14,5774,164,6,5,0,1,0,3.8115878286557305,-2.469802942055702,-0.25742768873344907,0.7473779241226477,0
Mill Creek Horse Trail,Redwood National Park,Crescent City,California,United States,5.7647,14966.862,572.7192,5,4.5,15,6268,14,5774,164,5,4,1,0,0,4.140157731282102,-1.48598945865223,0.04978147064608133,-1.7679249860459676,0
Last Chance California Coastal Trail,Redwood National Park,Crescent City,California,United States,5.7392,2253.076,59.7408,3,4.0,16,6268,14,5774,164,5,5,0,1,0,3.6522452690849807,-2.788003038223323,-0.8866019056414401,0.5982349699167674,0
Bald Hills Road,Redwood National Park,Hoopa,California,United States,4.9066,51016.078,1357.884,5,4.0,4,6268,14,5774,164,5,1,0,0,1,5.344124813384916,0.502183830743797,0.19545994825070845,0.15579200887226474,0
Lost Man Creek Trail,Redwood National Park,Orick,California,United States,4.817,32991.47,1195.7304,3,4.0,8,6268,14,5774,164,5,4,0,1,0,4.257560129151931,-1.6340105505215177,-0.48141388527596185,0.9874850613872213,0
Coastal Trail: Demartin Section,Redwood National Park,Klamath,California,United States,4.7569,18346.476,890.9304,3,4.5,4,6268,14,5774,164,5,6,0,1,0,4.050711412479952,-2.081649291204104,-0.23722913557049566,0.8223464048590805,0
Lyons Ranch Trail,Redwood National Park,Hoopa,California,United States,4.2143,5954.558,142.9512,3,4.5,10,6268,14,5774,164,5,4,0,1,0,3.6732937448859384,-2.647706118112297,-0.9834872153636657,0.6545565742016528,0
Ah-Pah Interpretive Trail,Redwood National Park,Orick,California,United States,3.4822,643.736,1.8288,3,3.5,9,6268,14,5774,164,5,4,0,1,0,3.696761206726797,-2.706657292328139,-1.3802117245089331,0.5660893725299908,0
Holter Ridge via Lost Man Trail,Redwood National Park,Orick,California,United States,2.914,21082.354,594.9696,3,0.0,0,6268,14,5774,164,3,7,0,1,0,4.535644973334159,-1.6656046436637044,-1.8504936299217334,0.6366519683079002,0
McArthur Creek Loop Trail,Redwood National Park,Orick,California,United States,2.7426,21565.156,822.96,3,5.0,1,6268,14,5774,164,4,4,1,0,0,4.119704549780221,-1.420922853365819,-0.3509254281798713,-1.9092857981180458,0
Tall Trees Access Road,Redwood National Park,Trinidad,California,United States,2.559,19312.08,583.9968,3,3.5,5,6268,14,5774,164,3,4,0,1,0,4.098822860225713,-1.9385084613947774,-1.5383887219800974,0.7925864615310557,0
The Farm Trail,Redwood National Park,Klamath,California,United States,2.3618,482.802,29.8704,1,3.5,3,6268,14,5774,164,4,4,1,0,0,3.643884530362028,-2.3869096450779637,-1.4424673778880053,-2.436658907856405,0
Wetland Boardwalk,Redwood National Park,Trinidad,California,United States,0.6729,321.868,0.0,1,1.5,3,6268,14,5774,164,5,4,0,1,0,3.747472044922376,-2.777186568513436,-2.3047677046803554,0.26076315645613246,0
Potato Harbor Trail,Channel Islands National Park,Ventura,California,United States,14.0568,7885.766,183.7944,1,4.5,103,1874,13,1035,141,6,6,1,0,0,-0.44861051235835153,-0.8536043874030322,0.6300968787294193,-2.0504764403796734,1
Smugglers Cove Trail,Channel Islands National Park,Ventura,California,United States,13.2334,12391.918,426.72,3,4.5,84,1874,13,1035,141,4,4,0,1,0,-0.2131230316904266,-0.6691755697633478,-0.4115381448083327,1.0916121869402868,4
Scorpion Bay to Cavern Point Loop,Channel Islands National Park,Ventura,California,United States,11.5004,2574.944,84.7344,1,4.5,74,1874,13,1035,141,9,8,1,0,0,-0.44360763239918205,-1.0392216122915845,1.3914912055810957,-2.217963908379208,1
El Montanon Trail,Channel Islands National Park,Ventura,California,United States,9.4397,13679.39,569.976,5,4.5,32,1874,13,1035,141,4,3,1,0,0,0.2417798810459747,0.5061464557278318,-0.17406071730986344,-1.4700615833249393,1
Santa Cruz Island: Pelican Bay And Prisoners Harbor Trails,Channel Islands National Park,Santa Barbara,California,United States,8.1262,13840.324,436.7784,3,4.5,10,1874,13,1035,141,10,3,1,0,0,-0.06917206789905311,-0.14335363477666072,0.8095568488345023,-1.8244680550773724,1
East Anacapa Island Trail,Channel Islands National Park,Ventura,California,United States,8.1202,3862.416,115.824,1,4.5,26,1874,13,1035,141,6,5,1,0,0,-0.3342031971075597,-0.6139961536781489,-0.14112324861677594,-2.1402773949254033,1
Scorpion Canyon Loop Trail,Channel Islands National Park,Ventura,California,United States,7.5226,7242.03,238.9632,3,4.0,33,1874,13,1035,141,5,4,1,0,0,-0.016670598256121973,-0.054575774207125914,-0.39721518109894155,-1.856719479420078,1
Del Norte and Montanon Trail to Scorpion Campgroud,Channel Islands National Park,Ventura,California,United States,6.9658,20116.75,810.768,5,5.0,17,1874,13,1035,141,5,5,0,0,1,1.087971829496449,1.6126492474442042,0.8156056762545723,0.08679719700337689,2
Cueva Valdez to Arch Rock Trail,Channel Islands National Park,Ventura,California,United States,5.2099,11748.182,535.8384,3,4.0,15,1874,13,1035,141,5,7,0,1,0,0.16904091654185274,-0.26204884742664103,-0.3559317605955721,0.9189785772083942,4
Pelican Bay Trail,Channel Islands National Park,Ventura,California,United States,4.5504,6437.36,249.936,3,4.5,10,1874,13,1035,141,4,4,0,1,0,-0.05761792473327541,-0.4267560546301153,-1.2050088427973917,0.9255123742695509,4
Santa Rosa Island - Pier to Ford Point,Channel Islands National Park,Santa Barbara,California,United States,4.4638,31221.196,951.8904,3,4.5,5,1874,13,1035,141,4,6,0,1,0,0.43629559797648626,0.3511124851841633,-0.3894412309725396,1.1368288311356418,4
Torrey Pines Trail,Channel Islands National Park,Santa Barbara,California,United States,4.3555,2253.076,111.8616,1,4.5,11,1874,13,1035,141,6,5,1,0,0,-0.25154373977974,-0.4813538094725107,-0.4120451411509852,-2.186103377177645,1
Lobo Canyon Trail,Channel Islands National Park,Santa Barbara,California,United States,4.3485,7724.832,125.8824,1,4.5,4,1874,13,1035,141,6,5,0,1,0,-0.2863556704000106,-0.8974556754478139,-0.8453678786747353,0.6287177008383845,4
"Smugglers Road, Scorpion Canyon and Potato Harbor",Channel Islands National Park,Ventura,California,United States,4.1838,12874.72,390.7536,3,5.0,4,1874,13,1035,141,2,3,1,0,0,0.11391513361783069,0.38815492831839893,-1.1785399593055905,-1.7440653438841949,1
East Point Trail,Channel Islands National Park,Santa Barbara,California,United States,3.9136,23335.43,238.9632,3,5.0,4,1874,13,1035,141,6,5,0,1,0,0.05930230477752481,-0.2661671239941189,-0.32441761430577737,0.9565639788685459,4
Santa Cruz Island: Del Norte Campground to Chinese Harbor,Channel Islands National Park,Ventura,California,United States,3.3346,12874.72,427.9392,3,4.5,3,1874,13,1035,141,4,4,0,1,0,0.08633722632663333,-0.17064006421598488,-1.173018556390113,0.9792177566914592,4
Black Mountain Trail,Channel Islands National Park,Ventura,California,United States,2.9488,9656.04,389.8392,3,4.5,3,1874,13,1035,141,5,3,0,1,0,0.0053860569795486654,-0.28109240506821376,-1.1915969213573512,0.9616700395373713,4
Skunk Point Loop,Channel Islands National Park,Ventura,California,United States,2.075,9816.974,75.8952,1,0.0,0,1874,13,1035,141,5,5,1,0,0,0.31853491135358464,0.12537383224257603,-1.8899376185828225,-2.293662742252821,1
Santa Barbara Island Loop,Channel Islands National Park,Malibu,California,United States,1.8169,8851.37,329.7936,3,5.0,1,1874,13,1035,141,4,4,1,0,0,0.10590989419370479,0.2607230622703316,-0.7353018551533653,-1.8484102906514803,1
Elephant Seal Cove Trail,Channel Islands National Park,Malibu,California,United States,1.4391,5310.822,250.8504,3,4.0,1,1874,13,1035,141,3,4,0,1,0,0.07818969311747963,-0.2225529958385085,-1.776297823318722,0.8912006016579289,4
Montañon Ridge Loop,Channel Islands National Park,Ventura,California,United States,1.1497,15127.796,528.828,5,5.0,2,1874,13,1035,141,4,2,1,0,0,0.38190059967960743,0.8322479971333389,-0.782689051971117,-1.5160463709629204,1
Arch Point Loop Trail,Channel Islands National Park,Malibu,California,United States,1.0316,3862.416,123.7488,3,0.0,0,1874,13,1035,141,3,4,1,0,0,0.5157683835242286,0.5326528317142087,-2.405418740659284,-2.0471416760420267,1
Emerald Lake Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,83.0341,4988.954,215.7984,3,4.5,2991,3135,14,2818,71,9,7,0,1,0,-3.813651561154902,-8.670856847443687,12.390441490619715,2.389148263415527,3
Sky Pond via Glacier Gorge Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,65.477,13035.654,537.972,5,5.0,1599,3135,14,2818,71,8,5,0,1,0,-1.961966658767897,-5.25589576645908,8.031102109975574,2.0950552863883876,3
Gem Lake Trail,Rocky Mountain National Park,Glen Haven,Colorado,United States,54.6336,4988.954,301.752,3,4.5,1651,3135,14,2818,71,7,3,0,1,0,-2.0955766792871717,-5.40967538627476,6.410171156760994,1.7634736870724752,3
The Loch Lake Trail via Glacier Gorge Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,52.036,8690.436,326.7456,3,5.0,841,3135,14,2818,71,7,8,0,1,0,-1.2177260034584318,-4.082793277435376,5.441452866077128,1.3450705977913555,3
Alberta Falls Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,45.8306,2574.944,76.8096,1,4.5,866,3135,14,2818,71,8,7,0,1,0,-1.430828774168112,-4.461349149852504,4.686712999597625,0.9960585233217426,3
Chasm Lake,Rocky Mountain National Park,Estes Park,Colorado,United States,44.9877,15127.796,792.7848,5,5.0,888,3135,14,2818,71,8,5,0,1,0,-0.8063943927295509,-3.256953290592914,5.266432100757448,1.7061159224473557,3
Dream Lake Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,44.3632,3218.68,129.8448,1,4.5,883,3135,14,2818,71,8,7,0,1,0,-1.390493244059407,-4.394806577597959,4.664789692016358,1.0043209985877037,3
Bear Lake Nature Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,39.0729,1126.538,12.8016,1,4.5,724,3135,14,2818,71,12,5,1,0,0,-1.2300784357320622,-3.7388542056703593,4.953749923971536,-1.9373538654536206,3
Twin Sisters Peak Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,38.7945,12070.05,766.8768,5,4.5,824,3135,14,2818,71,4,3,0,1,0,-0.5792135132586159,-2.7190462465141336,3.297924555326566,1.6992798788761625,3
Ouzel Falls via Wild Basin Trail from Sandbeach Lake,Rocky Mountain National Park,Allenspark,Colorado,United States,38.7433,11909.116,361.7976,3,4.5,614,3135,14,2818,71,7,4,0,1,0,-0.7529597121407698,-3.1102508029571223,3.311664089180653,1.244668981428704,3
Deer Mountain Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,37.8313,9012.304,426.72,3,4.5,927,3135,14,2818,71,4,5,0,1,0,-0.9144408612731565,-3.402998777274375,3.4806971041809676,1.380070264632645,3
Lake Haiyaha,Rocky Mountain National Park,Estes Park,Colorado,United States,34.4488,5793.624,257.8608,3,4.5,448,3135,14,2818,71,8,5,0,1,0,-0.592407798748108,-2.9208158871924117,2.9936799289634313,1.0560263394879374,3
"Mills Lake, Black Lake, Frozen Lake Trail",Rocky Mountain National Park,Estes Park,Colorado,United States,33.4693,17702.74,770.8392,5,5.0,397,3135,14,2818,71,8,3,0,1,0,-0.17241069860035624,-2.041453787165124,3.0887551624303136,1.4702621109809773,3
Fern Lake Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,32.9579,11426.314,442.8744,3,4.5,522,3135,14,2818,71,8,7,0,1,0,-0.45681623426596396,-2.8001783670661444,3.5633155088750237,1.0908405770626026,3
Bridal Veil Falls via Cow Creek Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,32.0935,9816.974,293.8272,3,4.5,476,3135,14,2818,71,6,4,0,1,0,-0.5041336556408643,-2.668583759609364,2.326696544906129,1.1253999598197877,3
The Keyhole and Longs Peak via Longs Peak Trail,Rocky Mountain National Park,Allenspark,Colorado,United States,31.6959,11909.116,1496.8728,5,5.0,550,3135,14,2818,71,6,5,0,1,0,-0.011813279966874118,-1.840309343458469,3.4321208463825292,1.6205098845146888,3
Bierstadt Lake Loop Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,31.0555,5149.888,190.8048,3,4.5,496,3135,14,2818,71,5,6,1,0,0,-0.395443091689169,-2.2206549458636164,2.8458756048830667,-1.7392164812285063,3
Glacier Gorge Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,28.796,4506.152,122.8344,1,4.5,250,3135,14,2818,71,8,6,0,1,0,-0.5234411884205582,-2.8356234471855033,2.0936005489072436,0.652766758279986,3
Cub Lake Trail Loop,Rocky Mountain National Park,Estes Park,Colorado,United States,28.4165,9656.04,226.7712,3,4.5,496,3135,14,2818,71,8,7,1,0,0,-0.3123841074303943,-2.2036327867893624,3.624314671976175,-1.7993755719575952,3
Mount Ida Trail,Rocky Mountain National Park,Grand Lake,Colorado,United States,28.4035,14805.928,723.9,5,5.0,344,3135,14,2818,71,6,5,0,1,0,0.04570645884271681,-1.7465325044493987,2.5324695134364203,1.3666342984112023,3
Adams Falls Trail,Rocky Mountain National Park,Grand Lake,Colorado,United States,28.2017,1126.538,29.8704,1,4.5,522,3135,14,2818,71,7,4,1,0,0,-0.7381808254286385,-2.731836065840413,2.511821251908175,-2.009015745615679,3
Flattop Mountain Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,26.7174,13196.588,874.776,5,4.5,340,3135,14,2818,71,5,6,0,1,0,0.21165086534290775,-1.5419767445919828,2.2838628240421364,1.3517956541623055,3
Sprague Lake Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,26.2324,1287.472,9.7536,1,4.5,370,3135,14,2818,71,8,6,1,0,0,-0.531050241457785,-2.5060880552126337,2.6332472522769304,-2.149123879235957,3
Cascade Falls,Rocky Mountain National Park,Grand Lake,Colorado,United States,25.238,11909.116,205.74,1,4.5,368,3135,14,2818,71,7,9,0,1,0,-0.34046679519890066,-2.6756019397919477,2.58364156505345,0.6662166602191725,3
Hallett Peak,Rocky Mountain National Park,Estes Park,Colorado,United States,23.5712,14805.928,991.8192,5,5.0,267,3135,14,2818,71,5,5,0,1,0,0.3158593259064729,-1.2592261056155372,1.9257471751909172,1.3653908940378723,3
Timberline Falls and Sky Pond Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,23.2203,14966.862,658.9776,5,5.0,107,3135,14,2818,71,8,3,1,0,0,0.34396605138324887,-0.7982995049152737,2.220164660400302,-1.5545756733347618,1
Odessa Lake Via Fern Lake Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,22.8281,13357.522,610.8192,3,4.5,175,3135,14,2818,71,7,7,0,1,0,0.1505624151439906,-1.7254810677583123,1.9982521696111128,0.927611065748883,3
Nymph Lake Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,21.9963,1931.208,79.8576,1,4.5,222,3135,14,2818,71,7,3,0,1,0,-0.44866903290409793,-2.530894085864081,0.8104525763010206,0.6473848726991094,3
Copeland Falls to Calypso Cascades,Rocky Mountain National Park,Allenspark,Colorado,United States,21.6951,5632.69,184.7088,1,4.5,267,3135,14,2818,71,7,4,0,1,0,-0.38599990854506044,-2.4776979403757635,1.152416194176387,0.6783337493732103,3
Black Lake Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,21.2884,15610.598,500.7864,5,5.0,158,3135,14,2818,71,8,3,0,1,0,0.2111773591486596,-1.4004788360612983,1.7096992333816878,1.2088970293156955,3
East Inlet Trail to Lone Pine Lake,Rocky Mountain National Park,Grand Lake,Colorado,United States,21.1836,17059.004,546.8112,3,4.5,277,3135,14,2818,71,9,9,0,1,0,0.13884785972000657,-1.9135199271054668,2.9879011712551415,0.8829692428689646,3
Sandbeach Lake Trail,Rocky Mountain National Park,Allenspark,Colorado,United States,21.0644,13840.324,635.8128,5,4.5,240,3135,14,2818,71,7,6,0,1,0,0.3243564240691108,-1.4038462026299838,2.1102824006906284,1.190021838618956,3
Ouzel Lake Trail,Rocky Mountain National Park,Allenspark,Colorado,United States,21.0145,15127.796,512.9784,3,4.5,228,3135,14,2818,71,7,6,0,1,0,0.1074952072880414,-1.7506647419308237,1.8188799579521524,0.9443708911207854,3
Mills Lake via Glacier Gorge Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,20.8615,7885.766,254.8128,3,5.0,141,3135,14,2818,71,4,4,0,1,0,-0.003776550311655481,-1.7226130019842971,0.5185131085799811,0.925567766492653,0
Alluvial Fan Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,20.6322,1126.538,61.8744,1,4.5,240,3135,14,2818,71,8,4,0,1,0,-0.43538478102158173,-2.5935577401794756,1.1751496899827794,0.5980418364337341,3
West Creek Falls,Rocky Mountain National Park,Estes Park,Colorado,United States,20.3382,6920.162,424.8912,3,4.5,135,3135,14,2818,71,6,3,0,1,0,0.03097929587730413,-1.6944887015336478,0.670126197495325,0.9293036776380258,0
Lily Lake,Rocky Mountain National Park,Estes Park,Colorado,United States,19.6972,1287.472,13.716,1,4.5,232,3135,14,2818,71,9,6,1,0,0,-0.2843855435146029,-2.1097903094250268,2.160300932343329,-2.2718144168926147,3
Bear Lake to Alberta Falls to Mills Lake,Rocky Mountain National Park,Estes Park,Colorado,United States,19.4896,8690.436,285.9024,3,5.0,113,3135,14,2818,71,7,3,0,1,0,-0.020956447964450023,-1.7634491487206574,0.8995291774894325,0.8928232443430645,0
Ute Trail - Tombstone Ridge,Rocky Mountain National Park,Estes Park,Colorado,United States,19.0785,9012.304,582.7776,3,4.5,183,3135,14,2818,71,4,4,0,1,0,0.15229237365694917,-1.4978743802634928,0.5031609025846696,0.9857122872319966,0
Lawn Lake Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,19.0361,18990.212,764.7432,5,4.5,190,3135,14,2818,71,6,4,0,1,0,0.45808021262901216,-1.029840415937654,1.3663027076145149,1.2644554084292159,0
Ouzel Falls via Wild Basin Trail,Rocky Mountain National Park,Allenspark,Colorado,United States,18.6678,8529.502,290.7792,3,4.5,238,3135,14,2818,71,5,5,0,1,0,0.03873223072727619,-1.784360558271462,0.9248296356806984,0.9040681311522639,0
The Loch and Lake of Glass,Rocky Mountain National Park,Estes Park,Colorado,United States,18.5816,12552.852,536.7528,3,5.0,104,3135,14,2818,71,5,6,0,1,0,0.24132611313608565,-1.4294084255859718,1.0338386935691912,0.911133697167102,0
Estes Cone via Eugena Mine and Longs Peak Trail,Rocky Mountain National Park,Allenspark,Colorado,United States,18.4971,9656.04,582.7776,3,4.5,193,3135,14,2818,71,5,5,0,1,0,0.17293179629369637,-1.5435051399761903,0.9141812653715906,0.9502624152214425,0
Andrews Tarn and Andrews Glacier Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,18.3733,13518.456,688.848,5,5.0,70,3135,14,2818,71,7,6,0,1,0,0.49255890049832196,-1.0633476041451573,1.6948804700256999,1.1241570031560517,0
Bridal Veil Falls Via Lumpy Ridge Trails,Rocky Mountain National Park,Estes Park,Colorado,United States,17.9683,20116.75,910.7424,5,4.5,141,3135,14,2818,71,6,2,1,0,0,0.6124081697944539,-0.2821317893050722,1.3518905043030165,-1.4715971372514054,1
Ypsilon Lake Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,17.9093,16898.07,988.7712,3,4.5,190,3135,14,2818,71,6,5,0,1,0,0.3511205972029834,-1.2446808110481917,1.304680888449871,1.0469670330309926,0
Bear Lake to Sky Pond via Glacier Gorge Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,17.8462,14001.258,573.9384,5,5.0,140,3135,14,2818,71,8,2,0,1,0,0.2813152825513706,-1.2299258103887725,1.291362755719786,1.2034830131135994,0
Calypso Cascades via Allenspark Trail,Rocky Mountain National Park,Allenspark,Colorado,United States,17.4926,9173.238,387.7056,3,4.5,131,3135,14,2818,71,7,6,0,1,0,0.17845704007655636,-1.6389871211778206,1.2879774273540876,0.8231637283326264,3
Lake Helene via Fern Lake Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,17.331,9816.974,410.8704,3,4.5,146,3135,14,2818,71,5,7,0,1,0,0.2507905183740746,-1.5260406890739515,1.0496016067561538,0.841377871047208,0
Bluebird Lake Trail,Rocky Mountain National Park,Allenspark,Colorado,United States,16.6696,19473.014,809.8536,5,4.5,111,3135,14,2818,71,5,1,0,1,0,0.5272873688573563,-0.71550437714151,0.2784755357236068,1.3086656443660485,0
"Nymph, Dream, Haiyaha and Loch Vale Lakes Loop",Rocky Mountain National Park,Estes Park,Colorado,United States,16.5198,12713.786,505.968,3,4.5,62,3135,14,2818,71,5,4,1,0,0,0.4014325272174759,-0.7236717889374086,0.7839764747102062,-1.885425321377015,1
Cub Lake,Rocky Mountain National Park,Estes Park,Colorado,United States,16.5094,8207.634,221.8944,3,4.0,206,3135,14,2818,71,4,5,0,1,0,0.15984180339567866,-1.602077775406056,0.33982048049302754,0.8581379496385831,0
East Inlet Trail to Lake Verna,Rocky Mountain National Park,Allenspark,Colorado,United States,16.4705,20760.486,661.7208,5,5.0,72,3135,14,2818,71,8,10,0,1,0,0.6922086996284822,-0.9674781320049726,2.616708771153643,1.0306281888044595,3
Gem Lake Trail and Lumpy Ridge Loop,Rocky Mountain National Park,Estes Park,Colorado,United States,16.0138,7081.096,344.7288,3,4.5,149,3135,14,2818,71,3,4,1,0,0,0.281563444536244,-0.9011679391309015,0.3914903086720724,-1.886037712905447,1
Continental Divide National Scenic Trail (CDNST) Loop,Rocky Mountain National Park,Grand Lake,Colorado,United States,15.733,46348.992,1510.8936,7,4.5,48,3135,14,2818,71,7,5,1,0,0,1.4293031085358203,0.9459456873234051,2.463816305618498,-1.1432421410440816,2
Chasm Falls Trail via Old Fall River Road,Rocky Mountain National Park,Estes Park,Colorado,United States,15.6444,4023.35,141.732,3,4.0,101,3135,14,2818,71,7,3,0,1,0,0.0882139623744739,-1.6807549808334945,0.30103008060696584,0.7762820230727875,0
Timber Lake Trail,Rocky Mountain National Park,Grand Lake,Colorado,United States,15.471,15932.466,715.9752,3,4.5,128,3135,14,2818,71,6,4,0,1,0,0.343805162695468,-1.2081248433369145,0.7351128469120249,0.9645980814869134,0
Mills Lake and The Loch,Rocky Mountain National Park,Estes Park,Colorado,United States,15.1983,11265.38,418.7952,3,5.0,23,3135,14,2818,71,4,4,0,1,0,0.3024279086604128,-1.1934368133935578,-0.003489500694984044,0.881201746568437,0
Green Mountain Trail,Rocky Mountain National Park,Grand Lake,Colorado,United States,14.7896,5632.69,214.884,3,4.5,158,3135,14,2818,71,5,7,0,1,0,0.2047589563083643,-1.6206382292181456,0.8266423691181416,0.7649172993167417,0
