name,park_name,city_name,state_name,country_name,popularity,length,elevation_gain,difficulty_rating,avg_rating,num_reviews,species_count,bio_category_count,abundance_total,conservation_total,num_features,num_activities,route_type_loop,route_type_out and back,route_type_point to point,principal component 1,principal component 2,principal component 3,principal component 4,Class
Bright Angel Trail: South Rim to Phantom Ranch,Grand Canyon National Park,Grand Canyon,Arizona,United States,12.4801,28968.12,1518.8184,5,5.0,39,2604,10,2387,125,5,3,0,1,0,0.6867526371266536,0.3507120609598182,0.41302249170669764,1.5882145206059886,4
Cape Royal Trail,Grand Canyon National Park,North Rim,Arizona,United States,12.4222,1609.34,19.812,1,4.5,54,2604,10,2387,125,9,3,0,1,0,-0.4438963122187781,-1.739202128200721,0.028983072395304867,0.6431604310710127,4
Rim-to-Rim: North Kaibab to South Kaibab Trailhead,Grand Canyon National Park,North Rim,Arizona,United States,12.4044,31060.262,1666.9512,7,5.0,38,2604,10,2387,125,6,5,0,0,1,1.7486597065195686,2.1182689946646365,2.081919799390936,0.5493980936514746,2
Rim to Rim Trail Segment: Indian Garden to Colorado River,Grand Canyon National Park,Grand Canyon,Arizona,United States,12.3532,9656.04,429.768,7,5.0,61,2604,10,2387,125,3,3,0,1,0,0.42933109669604735,-0.11841043182919805,-0.3091459281896038,1.5319248560610774,4
North Kaibab Trail to Colorado River,Grand Canyon National Park,North Rim,Arizona,United States,12.302,45061.52,2092.7568,7,4.5,45,2604,10,2387,125,10,6,0,1,0,1.2404686057720975,0.9759553429102605,2.5689704562367788,1.8480135430579534,2
Cape Final,Grand Canyon National Park,North Rim,Arizona,United States,12.0834,6437.36,150.876,1,4.5,76,2604,10,2387,125,4,2,0,1,0,-0.3035647024124613,-1.3209111095226802,-1.189493041500763,0.7938319806986733,4
Phantom Ranch to Ribbon Falls via North Kaibab Trail,Grand Canyon National Park,North Rim,Arizona,United States,11.8608,19151.146,592.836,5,5.0,27,2604,10,2387,125,6,3,0,1,0,0.33916149929306044,-0.3003403947887,0.18601233367435277,1.3276193426497311,4
North Kaibab Trail to Supai Tunnel and Coconino Overlook,Grand Canyon National Park,North Rim,Arizona,United States,11.7107,5954.558,425.8056,3,4.5,69,2604,10,2387,125,4,5,0,1,0,0.07714273609325557,-0.8586660750214674,-0.35827715013031985,0.9944166893254104,4
Hermit's Rest Viewpoint  to Santa Maria Spring,Grand Canyon National Park,Grand Canyon,Arizona,United States,11.1051,5471.756,528.828,3,4.5,39,2604,10,2387,125,4,3,0,1,0,0.08192409739515129,-0.7342915439028482,-0.8035914005516792,1.0425388485483338,4
South Kaibab to North Kaibab to Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,11.0836,65822.006,3578.9616,7,5.0,37,2604,10,2387,125,6,5,0,0,1,2.642404192335723,3.7302381502370636,2.954302110989884,1.0933455345282068,2
Bright Angel Trail to Phantom Overlook to South Kaibab Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,10.8324,27841.582,1748.9424,5,5.0,30,2604,10,2387,125,5,4,0,0,1,1.5691340476807012,1.9107239665346378,1.319608551392849,0.35109969962120424,2
South Kaibab Trail to Tip Off,Grand Canyon National Park,Grand Canyon,Arizona,United States,10.6545,14484.06,1004.9256,5,5.0,33,2604,10,2387,125,2,4,0,1,0,0.5419970186902914,0.08293674639402515,-0.5211775479721001,1.4176228309586059,4
Grand Canyon South Rim Scenic Drive: Cameron to Grand Canyon Village,Grand Canyon National Park,Cameron,Arizona,United States,10.3784,88513.7,1601.724,1,4.5,27,2604,10,2387,125,3,2,0,0,1,1.725077575995369,2.4112728835592545,0.39502716961171114,0.21760305484193604,2
Thunder Creek to Deer Creek and Thunder Falls,Grand Canyon National Park,Grand Canyon,Arizona,United States,10.2641,46670.86,2213.7624,5,5.0,10,2604,10,2387,125,5,6,1,0,0,1.3066203880005933,1.6401476443584806,1.6355832898148954,-1.0744986471708102,2
Rim to Rim: North to South and Ribbon Falls,Grand Canyon National Park,North Rim,Arizona,United States,10.1704,49889.54,1995.8304,7,4.5,48,2604,10,2387,125,2,5,0,0,1,2.1862451960003715,2.939803461618839,1.210297612459488,0.7339536321998563,2
Grand Canyon Rim Village to Hermit's Rest,Grand Canyon National Park,Grand Canyon,Arizona,United States,9.9197,24622.902,424.8912,1,4.5,28,2604,10,2387,125,4,2,0,1,0,0.03324864381095519,-0.7171908794919639,-1.165867589258777,0.8980959821555032,4
Desert View Visitor Center Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,9.7326,643.736,10.9728,1,4.0,41,2604,10,2387,125,6,2,1,0,0,-0.20971830848416947,-0.8987719508039121,-0.7017110725792379,-2.1276507474224995,1
Coconino Overlook,Grand Canyon National Park,North Rim,Arizona,United States,9.609,2092.142,141.732,1,4.0,45,2604,10,2387,125,2,3,0,1,0,-0.1478810488939665,-1.1173305810566385,-1.856585144426607,0.7305738258274244,4
Uncle Jim Trail,Grand Canyon National Park,North Rim,Arizona,United States,9.5621,7563.898,222.8088,1,4.0,43,2604,10,2387,125,6,8,1,0,0,0.09273135724424572,-0.7085738275082488,0.5322765975307061,-2.1905993894969,1
Dripping Springs via Dripping Springs and Hermit Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,9.227,10138.842,796.7472,5,4.5,26,2604,10,2387,125,5,6,0,1,0,0.5286639336794067,-0.1787532770460852,0.20393432710081444,1.236270265329359,4
North Kaibab Trail to Redwall Bridge,Grand Canyon National Park,North Rim,Arizona,United States,8.6888,11104.446,801.9288,5,5.0,25,2604,10,2387,125,2,3,0,1,0,0.475732013335962,0.013999709768525723,-0.9364538910778768,1.3634914018249307,4
Tanner Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,8.5202,21404.222,1611.7824,7,5.0,30,2604,10,2387,125,5,5,0,1,0,1.0046406629033007,0.742026327900887,0.7202531106508251,1.7104445421729368,2
"South Kaibab, Tonto and Bright Angel Trail",Grand Canyon National Park,Grand Canyon,Arizona,United States,8.2646,19955.816,1034.796,7,5.0,24,2604,10,2387,125,4,3,0,0,1,1.554334651849631,1.909746205010412,0.6671175539981493,0.40232474697526227,2
South to North Kaibab Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,7.7075,31060.262,1966.8744,5,5.0,23,2604,10,2387,125,5,6,0,0,1,1.7966229043643365,2.189445668667063,1.5909045503412218,0.33589449893244694,2
Point Imperial,Grand Canyon National Park,North Rim,Arizona,United States,7.5684,160.934,6.7056,1,4.5,24,2604,10,2387,125,6,3,0,1,0,-0.2658133796761432,-1.3752958670558941,-1.0351373842865885,0.6245897487338758,4
West Rim Trail: Hermits Rest to Powell Point,Grand Canyon National Park,Grand Canyon,Arizona,United States,7.4072,19312.08,231.9528,1,4.5,31,2604,10,2387,125,3,3,0,1,0,0.033395301109783934,-0.7669076333083737,-1.4650992130184382,0.805153172662771,4
Roosevelt Point Trail,Grand Canyon National Park,North Rim,Arizona,United States,7.2201,482.802,0.9144,1,4.0,15,2604,10,2387,125,4,2,1,0,0,-0.09540137460792333,-0.6607576005840231,-1.375942724776789,-2.1328263225912223,1
South Bass Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,7.1647,19633.948,1330.7568,7,4.5,10,2604,10,2387,125,4,5,0,1,0,1.0241178697828561,0.744575301162178,0.12765912424936784,1.6255886827996961,4
The Escalante Route Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,6.9609,56005.032,2881.884,5,4.5,18,2604,10,2387,125,6,5,0,1,0,1.5534413585469409,1.7069308523419837,1.2140240317367215,1.8655471136187458,2
Nankoweap Trail,Grand Canyon National Park,North Rim,Arizona,United States,6.9456,49406.738,2568.8544,7,4.5,13,2604,10,2387,125,5,5,0,1,0,1.633466160469905,1.8275434048366386,1.03860176995584,2.0040401834323003,2
Hermit Trail to Dripping Springs,Grand Canyon National Park,Grand Canyon,Arizona,United States,6.8325,8529.502,610.8192,5,5.0,20,2604,10,2387,125,3,1,0,1,0,0.36632968062673604,-0.09389227935864543,-1.2797975143907627,1.3262152967269754,4
Cliff Springs Trail,Grand Canyon National Park,North Rim,Arizona,United States,6.6276,1770.274,93.8784,1,4.0,18,2604,10,2387,125,4,3,0,1,0,-0.11275918239241071,-1.1089354912619973,-1.6500931853729353,0.6546610860113159,4
Walhalla Overlook,Grand Canyon National Park,North Rim,Arizona,United States,6.4591,160.934,0.0,1,4.5,6,2604,10,2387,125,5,1,0,1,0,-0.2662085055861226,-1.2406795994590745,-1.7434115584468044,0.6673619830709497,4
Widforss Trail - Short Option,Grand Canyon National Park,North Rim,Arizona,United States,6.3809,6920.162,179.832,1,4.5,10,2604,10,2387,125,4,3,0,1,0,-0.07569025271017582,-0.9932159624455893,-1.478566092957233,0.7052291184131879,4
Clear Creek Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,6.3369,49245.804,2673.7056,7,4.5,10,2604,10,2387,125,2,6,0,1,0,1.7662119629052218,2.0682747937525012,0.5195377028688989,2.038941712039261,2
New Hance Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,6.1769,20921.42,1506.9312,5,3.5,15,2604,10,2387,125,6,6,0,1,0,0.9837979088186668,0.5125434569206581,0.30944168457128085,1.360122538264164,0
Bright Angel Trail to Tonto Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,5.9577,116838.084,3102.864,5,5.0,7,2604,10,2387,125,5,3,0,1,0,2.129933847495383,2.950829050912701,1.3112830722447713,2.2569509707979174,2
Hermit's Rest Viewpoint to Tonto Trail to Bright Angel Trailhead,Grand Canyon National Park,Grand Canyon,Arizona,United States,5.7315,34118.008,1593.7992,5,4.5,7,2604,10,2387,125,4,5,0,0,1,1.8169026977016574,2.252121076951708,0.8039207333732689,0.2740545667412701,2
Boucher Trail to Hermit Trail Loop,Grand Canyon National Park,Grand Canyon,Arizona,United States,5.7123,32508.668,1758.696,5,5.0,6,2604,10,2387,125,5,5,1,0,0,1.124581484527567,1.348592297773238,0.8946598892919945,-1.2509538836333371,2
"Rim Trail, South Kaibab and Bright Angel Loop",Grand Canyon National Park,Grand Canyon,Arizona,United States,5.5548,34118.008,1501.7496,5,4.5,13,2604,10,2387,125,4,3,1,0,0,1.073734834631591,1.3491338841847225,0.10732177726687195,-1.248361190497379,1
