name,park_name,city_name,state_name,country_name,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews,species_count,bio_category_count,abundance_total,conservation_total,features_list,activities_list,principal component 1,principal component 2,principal component 3,principal component 4,Class
1.5 Mile Resthouse via Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,20.0835,4667.086,349.9104,3,out and back,3.0,4.5,238,2604,10,2387,125,48,10,-0.1628066673971944,1.258157176058495,-0.46194909545944096,2.1809133626015464,1
Bright Angel Point Trail,Grand Canyon National Park,North Rim,Arizona,United States,19.8228,1448.406,43.8912,1,out and back,3.0,4.5,142,2604,10,2387,125,47,37,-0.25244391051739257,1.573480784762628,-0.9575019714201577,0.9588495640072182,1
Indian Garden via Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,16.7412,13196.588,896.7216,5,out and back,3.0,5.0,61,2604,10,2387,125,29,36,0.3593235687334032,-0.06434942771293987,0.13140835783860288,2.0790862015017315,1
Grandview Trail Loop,Grand Canyon National Park,Grand Canyon,Arizona,United States,14.8144,18668.344,1188.72,7,loop,2.0,5.0,62,2604,10,2387,125,57,63,0.6871537424804618,-0.2357048735732397,1.5765042808635037,1.1159059111049274,2
Hermit Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,14.7746,24783.836,1567.8912,5,out and back,2.0,4.5,88,2604,10,2387,125,45,80,0.7319654029165766,-0.309568158803773,1.419410909796563,0.5806667519193829,2
Grandview Point to Horseshoe Mesa Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,14.7248,8851.37,726.948,3,out and back,1.0,5.0,97,2604,10,2387,125,48,80,0.26721286747877543,0.7338291990108058,0.38873562387738225,0.17668885571546683,0
North Kaibab Trail to Roaring Springs,Grand Canyon National Park,North Rim,Arizona,United States,14.6866,13518.456,1071.9816,5,out and back,2.0,4.5,80,2604,10,2387,125,58,69,0.5336562013468447,0.15885186766608103,1.0102465022519247,0.4808231665767612,0
South Kaibab Trail to Phantom Ranch,Grand Canyon National Park,Grand Canyon,Arizona,United States,13.8468,21565.156,1496.8728,5,out and back,3.0,5.0,73,2604,10,2387,125,32,57,0.6258495397680315,-0.47542659472885773,0.8447798425390993,1.5094377875218985,2
Widforss Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,13.3343,14644.994,315.7728,3,out and back,2.0,4.5,100,2604,10,2387,125,30,42,0.20210234280114675,0.28953282342048653,-0.6798408201041013,1.312110595613902,1
Transept Trail,Grand Canyon National Park,North Rim,Arizona,United States,12.6285,4667.086,85.9536,3,out and back,2.0,4.0,85,2604,10,2387,125,66,48,0.15340572345869677,0.8150195231650555,-0.43301864389685424,0.1703590136252436,1
