count
12
331
34
48
10
1137
8
205
11
59
20
703
9
237
23
173
239
1
63
12
1
607
11
415
45
88
48
62
1589
8
233
767
11
34
27
37
473
2
173
14
67
11
832
4
216
1
76
13
879
7
220
33
75
22
809
6
247
14
73
21
1095
14
367
5
86
62
994
61
3
354
11
273
2
196
42
68
11
33
1
819
74
43
193
6
64
279
617
15
38
7
50
21
21
883
218
19
250
40
9
192
994
68
89
193
20
9
17
1623
23
242
8
73
227
16
44
22
15
2
1234
60
70
497
38
9
123
903
18
210
22
83
72
32
2249
1
170
14
29
51
3
41
159
841
281
281
42
6
5
164
17
361
359
42
59
1065
1
132
17
474
39
688
64
3
256
96
358
2
35
117
57
98
3
37
3
749
2
6
277
6
26
276
197
2
67
404
4
20
1188
14
447
25
57
1
104
74
2
142
1738
1
7
264
1
20
28
154
5
70
4
4
1
1461
21
325
6
18
15
456
29
93
16
58
30
18
1510
6
237
6
1
67
1
7
622
49
221
10
74
632
2414
84
78
528
42
92
104
1772
12
270
5
3
66
115
7
70
5
54
52
2
1069
3
42
18
6
66
1057
37
13
227
9
44
46
857
4
63
56
4
7
1411
173
14
135
13
71
101
986
24
27
190
9
55
15
22
49
18
50
2
1070
12
257
14
61
21
23
1
4
940
5
3
300
38
342
10
58
6
50
153
1294
1
198
4
40
105
7
29
54
20
7
727
1
199
42
2
2
42
51
4
672
1
125
26
333
38
26
476
1
189
1
54
220
3
6
50
281
1185
2
13
218
15
16
51
95
18
92
160
22
6
994
31
172
1
122
270
54
52
1
39
2
1701
6
231
82
19
888
15
172
22
31
47
64
357
5
999
12
226
33
539
559
77
385
9
42
1474
16
302
94
87
72
4
1342
7
242
1
60
1
21
486
8
165
8
3
27
323
31
60
29
11
10
704
111
32
501
122
236
1363
744
334
141
251
39
147
7
2240
150
4
271
39
12
306
676
48
70
416
3
10
22
1108
10
242
1
2
102
60
1389
12
218
16
84
24
1624
25
204
3
41
765
318
2
59
350
29
2
4
2761
7
223
1
31
1
73
3
63
61
12
2
2
673
14
238
58
3
33
7
60
11
6
1018
7
233
8
43
104
80
12
25
713
2
200
92
58
3
53
7
1
1334
204
7
325
63
19
11
1623
78
78
15
6
59
43
1369
13
269
10
85
22
1644
7
297
15
80
30
1237
